node_id,x,y,degree,is_leaf,component_id
0,169365.62141,2544097.48407,2,False,0
1,169374.11417,2544139.89996,4,False,0
2,169393.99677,2544137.0539,5,False,0
3,169398.58553,2544165.03247,5,False,0
4,169378.40012,2544168.48891,3,False,0
5,169530.27042,2544146.36849,3,False,0
6,169507.37056,2544128.83689,2,False,0
7,169526.72401,2544127.21137,4,False,0
8,169564.33796,2544119.93318,2,False,0
9,169590.02779,2544115.3822,2,False,0
10,169609.90557,2544111.6233,2,False,0
11,169687.85754,2544119.88159,5,False,0
12,169621.9901,2544110.26506,3,False,0
13,169610.93438,2544046.40361,2,False,0
14,169612.77562,2544018.61867,4,False,0
15,169684.68463,2544098.97221,4,False,0
16,169710.98919,2544094.87473,4,False,0
17,169713.8523,2544115.10091,5,False,0
18,169732.2429,2544090.80426,2,False,0
19,169743.56096,2544089.22192,3,False,0
20,169734.87252,2544004.72864,3,False,0
21,169835.76878,2544072.74984,5,False,0
22,169838.47867,2544092.97689,5,False,0
23,169859.89764,2544091.18859,5,False,0
24,169860.0991,2544071.55479,5,False,0
25,169832.69157,2543991.37898,3,False,0
26,169849.18985,2543977.55813,4,False,0
27,169947.70401,2544064.48465,3,False,0
28,169983.26023,2544061.61509,3,False,0
29,170003.76335,2544060.28844,3,False,0
30,170038.49871,2544058.50565,3,False,0
31,170047.98499,2544057.84643,3,False,0
32,170076.76256,2544055.27467,3,False,0
33,170218.1846,2544042.63625,5,False,0
34,170245.87778,2544040.58692,5,False,0
35,170236.95885,2543960.65716,3,False,0
36,170312.36684,2544037.571,2,False,0
37,170313.22488,2544055.06851,2,False,0
38,170246.20626,2544059.22868,5,False,0
39,170219.89829,2544062.71647,5,False,0
40,169926.76098,2544086.64705,3,False,0
41,169934.48588,2544085.76886,3,False,0
42,169986.65179,2544080.54491,3,False,0
43,170003.09686,2544078.85938,3,False,0
